,features,importance-mean,importance-std
443,first_affiliate_tracked_population_in_thousands_NL,0.0,0.0
444,first_affiliate_tracked_population_in_thousands_PT,0.0,0.0
445,first_affiliate_tracked_population_in_thousands_US,0.0,0.0
446,first_affiliate_tracked_language_levenshtein_distance_CA,0.0,0.0
447,signup_app_distance_km_PT,0.0,0.0
448,first_affiliate_tracked_language_levenshtein_distance_DE,0.0,0.0
449,first_affiliate_tracked_language_levenshtein_distance_PT,0.0,0.0
450,first_affiliate_tracked_language_levenshtein_distance_ES,0.0,0.0
451,affiliate_channel_distance_km_ES,0.0,0.0
452,affiliate_channel_distance_km_DE,0.0,0.0
453,first_affiliate_tracked_language_levenshtein_distance_FR,0.0,0.0
454,first_affiliate_tracked_language_levenshtein_distance_GB,0.0,0.0
455,first_affiliate_tracked_language_levenshtein_distance_IT,0.0,0.0
456,affiliate_channel_distance_km_CA,0.0,0.0
457,affiliate_channel_distance_km_AU,0.0,0.0
458,first_affiliate_tracked_population_in_thousands_AU,0.0,0.0
459,affiliate_channel_distance_km_GB,0.0,0.0
460,signup_app_lat_destination_US,0.0,0.0
461,signup_app_lat_destination_PT,0.0,0.0
462,signup_app_distance_km_US,0.0,0.0
463,signup_app_lng_destination_AU,0.0,0.0
464,signup_app_lng_destination_CA,0.0,0.0
465,signup_app_lng_destination_DE,0.0,0.0
466,signup_app_lng_destination_ES,0.0,0.0
467,signup_app_lng_destination_FR,0.0,0.0
468,signup_app_lng_destination_GB,0.0,0.0
469,signup_app_lng_destination_IT,0.0,0.0
470,signup_app_lng_destination_NL,0.0,0.0
471,signup_app_lng_destination_PT,0.0,0.0
472,signup_app_lng_destination_US,0.0,0.0
473,signup_app_lat_destination_AU,0.0,0.0
474,signup_app_lat_destination_CA,0.0,0.0
475,signup_app_lat_destination_DE,0.0,0.0
476,signup_app_lat_destination_ES,0.0,0.0
477,signup_app_lat_destination_FR,0.0,0.0
478,first_affiliate_tracked_language_levenshtein_distance_US,0.0,0.0
479,signup_app_lat_destination_GB,0.0,0.0
480,signup_app_lat_destination_IT,0.0,0.0
481,affiliate_channel_distance_km_IT,0.0,0.0
482,signup_app_lat_destination_NL,0.0,0.0
